year,bandwidth_km,record_id,month,total_effect,gradient_component,residual_component,analysis_role
1991,125.7997650312984,199107.0,7.0,0.07281041033487631,-0.015824259903285502,0.0886346702381619,held_out
1991,251.5995300625968,199107.0,7.0,0.07721930439696774,-0.030966982215849717,0.10818628661281725,held_out
1991,503.1990601251936,199107.0,7.0,0.08419294833409778,-0.052408298982488825,0.13660124731658668,held_out
1991,1006.3981202503873,199107.0,7.0,0.04171172725606165,-0.07803437737186326,0.1197461046279249,held_out
1991,2012.7962405007745,199107.0,7.0,0.004766025278982358,-0.09591592071090521,0.10068194598988763,held_out
1992,125.7997650312984,199207.0,7.0,0.046962210265220204,-0.022867027907245263,0.06982923817246532,held_out
1992,251.5995300625968,199207.0,7.0,0.03576211147413285,-0.04480880998446859,0.08057092145860151,held_out
1992,503.1990601251936,199207.0,7.0,0.029034860969233092,-0.07901543547952142,0.10805029644875445,held_out
1992,1006.3981202503873,199207.0,7.0,-0.02033286812893207,-0.11767460483911985,0.09734173671018771,held_out
1992,2012.7962405007745,199207.0,7.0,-0.058101183111110455,-0.13910133557698748,0.08100015246587701,held_out
1993,125.7997650312984,199307.0,7.0,-0.0168806595686248,-0.028422594749451413,0.011541935180826595,held_out
1993,251.5995300625968,199307.0,7.0,-0.007764407688317103,-0.045567701470398514,0.03780329378208141,held_out
1993,503.1990601251936,199307.0,7.0,-0.004533389415210348,-0.06883076000224768,0.06429737058703719,held_out
1993,1006.3981202503873,199307.0,7.0,-0.03870833447015261,-0.09450867920174166,0.055800344731588965,held_out
1993,2012.7962405007745,199307.0,7.0,-0.06601950988657578,-0.1096298308983568,0.043610321011780945,held_out
1994,125.7997650312984,199407.0,7.0,0.038272464224817025,-0.01826035397398609,0.05653281819880302,held_out
1994,251.5995300625968,199407.0,7.0,0.04487437642391661,-0.03655148206077676,0.08142585848469332,held_out
1994,503.1990601251936,199407.0,7.0,0.0378557097944342,-0.07443187876870808,0.11228758856314225,held_out
1994,1006.3981202503873,199407.0,7.0,-0.01698280777912677,-0.1183312276117679,0.10134841983264105,held_out
1994,2012.7962405007745,199407.0,7.0,-0.05631557693340918,-0.14262186322544027,0.08630628629203103,held_out
1995,125.7997650312984,199507.0,7.0,0.007188224917916273,-0.005153202729559257,0.012341427647475473,held_out
1995,251.5995300625968,199507.0,7.0,-0.012526020593260516,-0.016907079503748628,0.004381058910488174,held_out
1995,503.1990601251936,199507.0,7.0,-0.05440341240629518,-0.04931573103703001,-0.005087681369265097,held_out
1995,1006.3981202503873,199507.0,7.0,-0.09620459253762809,-0.08807257886310534,-0.008132013674522735,held_out
1995,2012.7962405007745,199507.0,7.0,-0.11249002390859064,-0.10385853562554855,-0.008631488283041819,held_out
1996,125.7997650312984,199607.0,7.0,-0.06923980007832435,-0.036189237205684587,-0.033050562872639605,held_out
1996,251.5995300625968,199607.0,7.0,-0.06187954907244226,-0.06051344619911266,-0.0013661028733295427,held_out
1996,503.1990601251936,199607.0,7.0,-0.06310095366619513,-0.10270454978977207,0.03960359612357684,held_out
1996,1006.3981202503873,199607.0,7.0,-0.1258204382054283,-0.15338510192865332,0.027564663723224997,held_out
1996,2012.7962405007745,199607.0,7.0,-0.16707741679952948,-0.18052964931787563,0.013452232518346194,held_out
1997,125.7997650312984,199707.0,7.0,-0.07432589002648489,-0.026435478834671466,-0.04789041119181329,held_out
1997,251.5995300625968,199707.0,7.0,-0.10154294145229943,-0.04881768064180376,-0.05272526081049574,held_out
1997,503.1990601251936,199707.0,7.0,-0.13718089538337896,-0.0855794749119745,-0.051601420471404584,held_out
1997,1006.3981202503873,199707.0,7.0,-0.17534008727902228,-0.12460826436116192,-0.050731822917860374,held_out
1997,2012.7962405007745,199707.0,7.0,-0.19434568621540457,-0.14357539264460648,-0.050770293570797986,held_out
1998,125.7997650312984,199807.0,7.0,-0.0011527962103243204,-0.021327909592822266,0.02017511338249792,held_out
1998,251.5995300625968,199807.0,7.0,0.001827702121129549,-0.03739980615120183,0.03922750827233148,held_out
1998,503.1990601251936,199807.0,7.0,-0.002542427518170312,-0.0708427026523738,0.06830027513420352,held_out
1998,1006.3981202503873,199807.0,7.0,-0.03539981628987016,-0.10570566648517415,0.07030585019530398,held_out
1998,2012.7962405007745,199807.0,7.0,-0.05594523495368416,-0.11997374253759181,0.06402850758390774,held_out
1999,125.7997650312984,199907.0,7.0,-0.1071823877458709,-0.04416092092221902,-0.06302146682365188,held_out
1999,251.5995300625968,199907.0,7.0,-0.13773752520137086,-0.07054612710458408,-0.06719139809678674,held_out
1999,503.1990601251936,199907.0,7.0,-0.16632115871042288,-0.11432151760421343,-0.05199964110620919,held_out
1999,1006.3981202503873,199907.0,7.0,-0.2049042932456132,-0.1668875937267772,-0.03801669951883591,held_out
1999,2012.7962405007745,199907.0,7.0,-0.23009175451788647,-0.19460783566370488,-0.03548391885418164,held_out
2000,125.7997650312984,200007.0,7.0,-0.11036013010090173,-0.03304856910279719,-0.07731156099810449,held_out
2000,251.5995300625968,200007.0,7.0,-0.13251151409061865,-0.05819378445541958,-0.07431772963519911,held_out
2000,503.1990601251936,200007.0,7.0,-0.16746543759046287,-0.10946556230385361,-0.05799987528660922,held_out
2000,1006.3981202503873,200007.0,7.0,-0.21902491624922682,-0.1671950435875238,-0.051829872661703046,held_out
2000,2012.7962405007745,200007.0,7.0,-0.24737756004821213,-0.19616556557049605,-0.05121199447771607,held_out
2001,125.7997650312984,200107.0,7.0,-0.06776741233871604,-0.02946932097080701,-0.03829809136790901,held_out
2001,251.5995300625968,200107.0,7.0,-0.0721552042248418,-0.049847312817441564,-0.022307891407400197,held_out
2001,503.1990601251936,200107.0,7.0,-0.08340922611891254,-0.08723919864639429,0.003829972527481726,held_out
2001,1006.3981202503873,200107.0,7.0,-0.12115689989062345,-0.13214480736044967,0.010987907469826197,held_out
2001,2012.7962405007745,200107.0,7.0,-0.1474952006732372,-0.15549403946771265,0.007998838794475526,held_out
2002,125.7997650312984,200207.0,7.0,0.02528656276605863,-0.011744940926433854,0.03703150369249257,held_out
2002,251.5995300625968,200207.0,7.0,0.0229622544984469,-0.024146388193666535,0.0471086426921136,held_out
2002,503.1990601251936,200207.0,7.0,0.03250626044426042,-0.03831121702325354,0.0708174774675141,held_out
2002,1006.3981202503873,200207.0,7.0,0.02111579049180636,-0.05006483869700743,0.07118062918881374,held_out
2002,2012.7962405007745,200207.0,7.0,0.0032040596357370554,-0.058895964033682524,0.062100023669419684,held_out
2003,125.7997650312984,200307.0,7.0,0.009598034502633643,-0.028194516198453964,0.03779255070108773,held_out
2003,251.5995300625968,200307.0,7.0,0.007227065477928132,-0.048145406817610426,0.05537247229553863,held_out
2003,503.1990601251936,200307.0,7.0,-0.004618159186255809,-0.09675421370859116,0.09213605452233532,held_out
2003,1006.3981202503873,200307.0,7.0,-0.06998528072981793,-0.1546966191595506,0.08471133842973273,held_out
2003,2012.7962405007745,200307.0,7.0,-0.10755049583247807,-0.17955235429459807,0.07200185846212016,held_out
2004,125.7997650312984,200407.0,7.0,-8.815421416245167e-05,-0.029826233487859084,0.029738079273696736,held_out
2004,251.5995300625968,200407.0,7.0,-0.010005581311561908,-0.060130841358905895,0.05012526004734391,held_out
2004,503.1990601251936,200407.0,7.0,-0.031613210277493586,-0.116179518625996,0.08456630834850222,held_out
2004,1006.3981202503873,200407.0,7.0,-0.09751911147577734,-0.1763701113734387,0.07885099989766135,held_out
2004,2012.7962405007745,200407.0,7.0,-0.14062161844321494,-0.20784212315044223,0.0672205047072273,held_out
2005,125.7997650312984,200507.0,7.0,-0.05048876638118188,-0.035887892170929914,-0.01460087421025201,held_out
2005,251.5995300625968,200507.0,7.0,-0.06507217075894668,-0.06086907819225593,-0.004203092566690737,held_out
2005,503.1990601251936,200507.0,7.0,-0.08987288358534733,-0.11232695288125506,0.02245406929590776,held_out
2005,1006.3981202503873,200507.0,7.0,-0.14450619241349755,-0.1751353875318302,0.030629195118332463,held_out
2005,2012.7962405007745,200507.0,7.0,-0.1799367318861139,-0.2077201097662115,0.02778337788009765,held_out
2006,125.7997650312984,200607.0,7.0,-0.04005471148780081,-0.0204843833971167,-0.01957032809068388,held_out
2006,251.5995300625968,200607.0,7.0,-0.053050437122116524,-0.042514966367807626,-0.010535470754308648,held_out
2006,503.1990601251936,200607.0,7.0,-0.08710379142472686,-0.07867888720857753,-0.00842490421614947,held_out
2006,1006.3981202503873,200607.0,7.0,-0.13714825182809545,-0.11915677680799334,-0.01799147502010202,held_out
2006,2012.7962405007745,200607.0,7.0,-0.16203416653242075,-0.13984036558521676,-0.02219380094720394,held_out
2007,125.7997650312984,200707.0,7.0,0.046894923520150476,-0.03540382853673449,0.08229875205688489,held_out
2007,251.5995300625968,200707.0,7.0,0.04425642252381599,-0.06218676295644027,0.10644318548025618,held_out
2007,503.1990601251936,200707.0,7.0,0.010748305864602833,-0.11433591372670486,0.12508421959130758,held_out
2007,1006.3981202503873,200707.0,7.0,-0.07775516085830297,-0.17657631315157096,0.09882115229326803,held_out
2007,2012.7962405007745,200707.0,7.0,-0.12990271329871628,-0.2090057840528001,0.07910307075408378,held_out
2008,125.7997650312984,200807.0,7.0,0.03211732059294586,-0.018714547261627565,0.0508318678545733,held_out
2008,251.5995300625968,200807.0,7.0,0.01275453003395037,-0.030960157347874672,0.043714687381825205,held_out
2008,503.1990601251936,200807.0,7.0,-0.018436002369209305,-0.061040279015426385,0.04260427664621711,held_out
2008,1006.3981202503873,200807.0,7.0,-0.06321495657163277,-0.09710313030895602,0.03388817373732328,held_out
2008,2012.7962405007745,200807.0,7.0,-0.0871064283547242,-0.11481766448692965,0.027711236132205486,held_out
2009,125.7997650312984,200907.0,7.0,-0.08414173102131213,-0.02476667013766849,-0.059375060883643645,held_out
2009,251.5995300625968,200907.0,7.0,-0.08653275327624423,-0.045687191878090484,-0.04084556139815359,held_out
2009,503.1990601251936,200907.0,7.0,-0.1051739199995698,-0.08841789890975482,-0.016756021089815054,held_out
2009,1006.3981202503873,200907.0,7.0,-0.14453185828078483,-0.13345217208434024,-0.01107968619644458,held_out
2009,2012.7962405007745,200907.0,7.0,-0.16515886186819426,-0.1523961017698645,-0.01276276009832974,held_out
2010,125.7997650312984,201007.0,7.0,-0.008427480424166169,-0.03504600400203562,0.026618523577869476,held_out
2010,251.5995300625968,201007.0,7.0,-0.01879529319471244,-0.05492634283377632,0.03613104963906385,held_out
2010,503.1990601251936,201007.0,7.0,-0.041185836355734175,-0.08623007122019984,0.04504423486446547,held_out
2010,1006.3981202503873,201007.0,7.0,-0.09754692522242535,-0.1275749397814667,0.0300280145590415,held_out
2010,2012.7962405007745,201007.0,7.0,-0.136408106270727,-0.1540373369444076,0.01762923067368054,held_out
2011,125.7997650312984,201107.0,7.0,-0.015847881870322836,-0.0361641443107952,0.02031626244047234,held_out
2011,251.5995300625968,201107.0,7.0,-0.02603484824779667,-0.06132782876574753,0.03529298051795112,held_out
2011,503.1990601251936,201107.0,7.0,-0.045185232123703845,-0.10574596351075204,0.06056073138704829,held_out
2011,1006.3981202503873,201107.0,7.0,-0.10901687980902446,-0.15582673476690737,0.046809854957882806,held_out
2011,2012.7962405007745,201107.0,7.0,-0.1475352779860221,-0.18060093635701416,0.03306565837099212,held_out
2012,125.7997650312984,201207.0,7.0,-0.1571974409109251,-0.041350247578324534,-0.11584719333260048,held_out
