year,analysis_role,bandwidth_km,slope_log_q_per_c,months
1991,held_out,125.799765031298,-0.048952548556805975,3
1991,held_out,251.599530062597,-0.05957196364735375,3
1991,held_out,503.199060125194,-0.0740958861175846,3
1991,held_out,1006.39812025039,-0.11050362658053609,3
1991,held_out,2012.79624050077,-0.13653599692400212,3
1992,held_out,125.799765031298,-0.0007099727799046116,3
1992,held_out,251.599530062597,-0.008380685413562326,3
1992,held_out,503.199060125194,-0.016169378928076763,3
1992,held_out,1006.39812025039,-0.040494875153497006,3
1992,held_out,2012.79624050077,-0.05922033520281522,3
1993,held_out,125.799765031298,-0.03937124144525035,3
1993,held_out,251.599530062597,-0.03981013147171173,3
1993,held_out,503.199060125194,-0.01599917313334791,3
1993,held_out,1006.39812025039,-0.01284676868719418,3
1993,held_out,2012.79624050077,-0.02696358156192249,3
1994,held_out,125.799765031298,-0.0029472969720491537,3
1994,held_out,251.599530062597,-0.0063967316116764344,3
1994,held_out,503.199060125194,-0.02074350242754507,3
1994,held_out,1006.39812025039,-0.06199145480484671,3
1994,held_out,2012.79624050077,-0.08883803238022266,3
1995,held_out,125.799765031298,-0.03539963479679691,3
1995,held_out,251.599530062597,-0.037129061982120286,3
1995,held_out,503.199060125194,-0.028822599894159643,3
1995,held_out,1006.39812025039,-0.03919878806139616,3
1995,held_out,2012.79624050077,-0.054581586600073395,3
1996,held_out,125.799765031298,-0.016549648381756262,3
1996,held_out,251.599530062597,-0.016445173016608975,3
1996,held_out,503.199060125194,-0.02563052115761442,3
1996,held_out,1006.39812025039,-0.07407753563863052,3
1996,held_out,2012.79624050077,-0.1055222419278282,3
1997,held_out,125.799765031298,-0.06360324648981598,3
1997,held_out,251.599530062597,-0.07453732303869727,3
1997,held_out,503.199060125194,-0.08553991722475503,3
1997,held_out,1006.39812025039,-0.10778032082832517,3
1997,held_out,2012.79624050077,-0.12325254621742626,3
1998,held_out,125.799765031298,-0.026976519281698457,3
1998,held_out,251.599530062597,-0.027897702859791224,3
1998,held_out,503.199060125194,-0.02224793018844573,3
1998,held_out,1006.39812025039,-0.03130362256020797,3
1998,held_out,2012.79624050077,-0.04208996895548392,3
1999,held_out,125.799765031298,-0.05209950370098972,3
1999,held_out,251.599530062597,-0.06958028686220634,3
1999,held_out,503.199060125194,-0.08103528605823557,3
1999,held_out,1006.39812025039,-0.10502325949813933,3
1999,held_out,2012.79624050077,-0.12430998168248959,3
2000,held_out,125.799765031298,-0.07588959915355731,3
2000,held_out,251.599530062597,-0.0811917027169849,3
2000,held_out,503.199060125194,-0.08305514983678976,3
2000,held_out,1006.39812025039,-0.09807479307255383,3
2000,held_out,2012.79624050077,-0.11307091442742749,3
2001,held_out,125.799765031298,0.015546171125960526,3
2001,held_out,251.599530062597,0.02783128855289708,3
2001,held_out,503.199060125194,0.04568973066715557,3
2001,held_out,1006.39812025039,0.029468895481493614,3
2001,held_out,2012.79624050077,0.010338246643644605,3
2002,held_out,125.799765031298,-0.015047865475024097,3
2002,held_out,251.599530062597,-0.023667770304762036,3
2002,held_out,503.199060125194,-0.03145985560061376,3
2002,held_out,1006.39812025039,-0.05253771525787759,3
2002,held_out,2012.79624050077,-0.07009699150999897,3
2003,held_out,125.799765031298,-0.019163811069055226,3
2003,held_out,251.599530062597,-0.027730552948286195,3
2003,held_out,503.199060125194,-0.043882243436644985,3
2003,held_out,1006.39812025039,-0.08628253040875995,3
2003,held_out,2012.79624050077,-0.1117779735237089,3
2004,held_out,125.799765031298,-0.010105779657558904,3
