record_id,year,month,analysis_role,bandwidth_km,slope_log_q_per_c,days
199106,1991,6,held_out,125.799765031298,-0.04771866417889108,30
199106,1991,6,held_out,251.599530062597,-0.03581914433795626,30
199106,1991,6,held_out,503.199060125194,-0.014534157057300245,30
199106,1991,6,held_out,1006.39812025039,-0.032327127680607325,30
199106,1991,6,held_out,2012.79624050077,-0.054325168254414205,30
199107,1991,7,held_out,125.799765031298,-0.054021376199753314,31
199107,1991,7,held_out,251.599530062597,-0.06879864186492386,31
199107,1991,7,held_out,503.199060125194,-0.087894030294688,31
199107,1991,7,held_out,1006.39812025039,-0.13707832247861493,31
199107,1991,7,held_out,2012.79624050077,-0.16937306150278325,31
199108,1991,8,held_out,125.799765031298,-0.04511760529177351,31
199108,1991,8,held_out,251.599530062597,-0.07409810473918113,31
199108,1991,8,held_out,503.199060125194,-0.11985947100076552,31
199108,1991,8,held_out,1006.39812025039,-0.162105429582386,31
199108,1991,8,held_out,2012.79624050077,-0.18590976101480894,31
199206,1992,6,held_out,125.799765031298,-0.06052846613884794,30
199206,1992,6,held_out,251.599530062597,-0.0846223140877078,30
199206,1992,6,held_out,503.199060125194,-0.12634276551084328,30
199206,1992,6,held_out,1006.39812025039,-0.1590048475759047,30
199206,1992,6,held_out,2012.79624050077,-0.17339311601155494,30
199207,1992,7,held_out,125.799765031298,0.06551882150259362,31
199207,1992,7,held_out,251.599530062597,0.07184963492863795,31
199207,1992,7,held_out,503.199060125194,0.09206273902739624,31
199207,1992,7,held_out,1006.39812025039,0.07382898743555182,31
199207,1992,7,held_out,2012.79624050077,0.049032433460225545,31
199208,1992,8,held_out,125.799765031298,-0.007120273703459516,31
199208,1992,8,held_out,251.599530062597,-0.012369377081617127,31
199208,1992,8,held_out,503.199060125194,-0.014228110300783246,31
199208,1992,8,held_out,1006.39812025039,-0.03630876532013815,31
199208,1992,8,held_out,2012.79624050077,-0.05330032305711627,31
199306,1993,6,held_out,125.799765031298,-0.060397536197445964,30
199306,1993,6,held_out,251.599530062597,-0.06170877252731443,30
199306,1993,6,held_out,503.199060125194,-0.04864623410552625,30
199306,1993,6,held_out,1006.39812025039,-0.053156595461667504,30
199306,1993,6,held_out,2012.79624050077,-0.06803640145306739,30
199307,1993,7,held_out,125.799765031298,-0.007003438323500328,31
199307,1993,7,held_out,251.599530062597,-0.0072189249217442415,31
199307,1993,7,held_out,503.199060125194,0.03223865771994669,31
199307,1993,7,held_out,1006.39812025039,0.04950416372173025,31
199307,1993,7,held_out,2012.79624050077,0.03510676520720526,31
199308,1993,8,held_out,125.799765031298,-0.05071274981480477,31
199308,1993,8,held_out,251.599530062597,-0.05050269696607653,31
199308,1993,8,held_out,503.199060125194,-0.03158994301446417,31
199308,1993,8,held_out,1006.39812025039,-0.034887874321645286,31
199308,1993,8,held_out,2012.79624050077,-0.047961108439905344,31
199406,1994,6,held_out,125.799765031298,-0.013768545525560083,30
199406,1994,6,held_out,251.599530062597,-0.002517015544828255,30
199406,1994,6,held_out,503.199060125194,0.020709961617049872,30
199406,1994,6,held_out,1006.39812025039,0.018428387649506023,30
199406,1994,6,held_out,2012.79624050077,0.004443875522963861,30
199407,1994,7,held_out,125.799765031298,-0.020700551242452004,31
199407,1994,7,held_out,251.599530062597,-0.06038617889361243,31
199407,1994,7,held_out,503.199060125194,-0.13182403829462594,31
199407,1994,7,held_out,1006.39812025039,-0.2247174666149248,31
199407,1994,7,held_out,2012.79624050077,-0.2736875834426826,31
199408,1994,8,held_out,125.799765031298,0.025627205851864624,31
199408,1994,8,held_out,251.599530062597,0.043712999603411386,31
199408,1994,8,held_out,503.199060125194,0.04888356939494086,31
199408,1994,8,held_out,1006.39812025039,0.020314714550878663,31
199408,1994,8,held_out,2012.79624050077,0.0027296107790507774,31
199506,1995,6,held_out,125.799765031298,0.03248585261782956,30
199506,1995,6,held_out,251.599530062597,0.04834564449771207,30
199506,1995,6,held_out,503.199060125194,0.10296290021599551,30
199506,1995,6,held_out,1006.39812025039,0.14024433613982973,30
199506,1995,6,held_out,2012.79624050077,0.1426769737597317,30
199507,1995,7,held_out,125.799765031298,-0.06001706674344215,31
199507,1995,7,held_out,251.599530062597,-0.06368793299087187,31
199507,1995,7,held_out,503.199060125194,-0.0658035573907443,31
199507,1995,7,held_out,1006.39812025039,-0.09132521662461683,31
199507,1995,7,held_out,2012.79624050077,-0.11191927977859095,31
199508,1995,8,held_out,125.799765031298,-0.07866769026477816,31
199508,1995,8,held_out,251.599530062597,-0.09604489745320105,31
199508,1995,8,held_out,503.199060125194,-0.12362714250773015,31
199508,1995,8,held_out,1006.39812025039,-0.16651548369940136,31
199508,1995,8,held_out,2012.79624050077,-0.19450245378136094,31
199606,1996,6,held_out,125.799765031298,-0.05298340189745924,30
199606,1996,6,held_out,251.599530062597,-0.05694050437472247,30
199606,1996,6,held_out,503.199060125194,-0.059031479061566736,30
199606,1996,6,held_out,1006.39812025039,-0.08966953720075548,30
199606,1996,6,held_out,2012.79624050077,-0.11052421814788269,30
199607,1996,7,held_out,125.799765031298,0.027051018839618166,31
199607,1996,7,held_out,251.599530062597,0.03587908274667172,31
199607,1996,7,held_out,503.199060125194,0.028404951228682706,31
199607,1996,7,held_out,1006.39812025039,-0.036669928677325075,31
199607,1996,7,held_out,2012.79624050077,-0.08087151238600268,31
199608,1996,8,held_out,125.799765031298,-0.023716562087427707,31
199608,1996,8,held_out,251.599530062597,-0.028274097421776175,31
199608,1996,8,held_out,503.199060125194,-0.04626503563995923,31
199608,1996,8,held_out,1006.39812025039,-0.095893141037811,31
199608,1996,8,held_out,2012.79624050077,-0.12517099524959924,31
199706,1997,6,held_out,125.799765031298,-0.08114368630434461,30
199706,1997,6,held_out,251.599530062597,-0.10518774718302959,30
199706,1997,6,held_out,503.199060125194,-0.12495692515899072,30
199706,1997,6,held_out,1006.39812025039,-0.1396218811811644,30
199706,1997,6,held_out,2012.79624050077,-0.14785509317549128,30
199707,1997,7,held_out,125.799765031298,-0.003088278849147779,31
199707,1997,7,held_out,251.599530062597,-0.010109143313034932,31
199707,1997,7,held_out,503.199060125194,-0.016856585686048055,31
199707,1997,7,held_out,1006.39812025039,-0.05102779083441,31
199707,1997,7,held_out,2012.79624050077,-0.08002943426477319,31
199708,1997,8,held_out,125.799765031298,-0.10657777431595558,31
199708,1997,8,held_out,251.599530062597,-0.1083150786200273,31
199708,1997,8,held_out,503.199060125194,-0.1148062408292263,31
199708,1997,8,held_out,1006.39812025039,-0.13269129046940112,31
