analysis,field,minimum_days_per_regime,record_id,year,month,bandwidth_km,high_days,middle_days,mean_stations,effect
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199206,1992,6,125.799765031298,3,7,24.7,1.1512081318562823
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199206,1992,6,125.799765031298,3,7,24.7,1.0724297764747406
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199206,1992,6,125.799765031298,3,7,24.7,0.8011991601234323
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199206,1992,6,251.599530062597,3,7,24.7,0.3801702358567187
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199206,1992,6,251.599530062597,3,7,24.7,0.3361803841123936
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199206,1992,6,251.599530062597,3,7,24.7,0.2268878340383489
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199206,1992,6,503.199060125194,3,7,24.7,0.1933527823553567
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199206,1992,6,503.199060125194,3,7,24.7,0.15765034293337643
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199206,1992,6,503.199060125194,3,7,24.7,0.056501330269076
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199206,1992,6,1006.39812025039,3,7,24.7,0.16790022747674538
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199206,1992,6,1006.39812025039,3,7,24.7,0.13750558885643183
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199206,1992,6,1006.39812025039,3,7,24.7,0.012280494207234316
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199206,1992,6,2012.79624050077,3,7,24.7,0.14694673196180474
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199206,1992,6,2012.79624050077,3,7,24.7,0.12005965528009788
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199206,1992,6,2012.79624050077,3,7,24.7,-0.01172059001507908
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199207,1992,7,125.799765031298,1,6,24.0,0.6335843627578264
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199207,1992,7,125.799765031298,1,6,24.0,0.7179741786692841
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199207,1992,7,125.799765031298,1,6,24.0,0.12812358560474846
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199207,1992,7,251.599530062597,1,6,24.0,0.6091403114930349
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199207,1992,7,251.599530062597,1,6,24.0,0.70761766787041
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199207,1992,7,251.599530062597,1,6,24.0,0.03962824148655719
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199207,1992,7,503.199060125194,1,6,24.0,0.5097392883768608
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199207,1992,7,503.199060125194,1,6,24.0,0.6178643017135526
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199207,1992,7,503.199060125194,1,6,24.0,-0.042222746446421544
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199207,1992,7,1006.39812025039,1,6,24.0,0.3937696047079975
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199207,1992,7,1006.39812025039,1,6,24.0,0.4989549923165846
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199207,1992,7,1006.39812025039,1,6,24.0,-0.11320901358997415
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199207,1992,7,2012.79624050077,1,6,24.0,0.289213856095657
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199207,1992,7,2012.79624050077,1,6,24.0,0.3847207954166092
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199207,1992,7,2012.79624050077,1,6,24.0,-0.16489411723129244
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199208,1992,8,125.799765031298,1,6,24.285714285714285,-0.3127969950487517
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199208,1992,8,125.799765031298,1,6,24.285714285714285,-0.28380892984964534
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199208,1992,8,125.799765031298,1,6,24.285714285714285,-0.24292592526923162
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199208,1992,8,251.599530062597,1,6,24.285714285714285,-0.1819215575072579
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199208,1992,8,251.599530062597,1,6,24.285714285714285,-0.15240959979974178
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199208,1992,8,251.599530062597,1,6,24.285714285714285,-0.1318496793958579
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199208,1992,8,503.199060125194,1,6,24.285714285714285,-0.22869279808873144
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199208,1992,8,503.199060125194,1,6,24.285714285714285,-0.19765969377988912
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199208,1992,8,503.199060125194,1,6,24.285714285714285,-0.2180666836766484
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199208,1992,8,1006.39812025039,1,6,24.285714285714285,-0.20316900778817248
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199208,1992,8,1006.39812025039,1,6,24.285714285714285,-0.16868760358208046
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199208,1992,8,1006.39812025039,1,6,24.285714285714285,-0.21185084468364113
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199208,1992,8,2012.79624050077,1,6,24.285714285714285,-0.1666733171502206
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199208,1992,8,2012.79624050077,1,6,24.285714285714285,-0.13114798944614958
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199208,1992,8,2012.79624050077,1,6,24.285714285714285,-0.17537495037514073
dynamic_support_frozen_era_labels_min1,observed_wbt_c,1,199606,1996,6,125.799765031298,5,3,24.875,-0.46515272636518135
dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,1,199606,1996,6,125.799765031298,5,3,24.875,-0.44817817630944967
dynamic_support_frozen_era_labels_min1,era_wbt_c,1,199606,1996,6,125.799765031298,5,3,24.875,-0.5556186125842135
